review_text,product
"Battery life is incredible - genuinely lasts me two full days of heavy use. Camera in low light still needs work though, photos come out grainy after sunset.",Aurora Smartwatch
"This thing overheats badly during charging and once got too hot to hold. Contacted support three times, still no callback. Returning it and telling everyone I know not to buy this.",Aurora Smartwatch
"Exactly what I needed for the price. Setup took two minutes, syncs with my phone instantly, and the strap doesn't irritate my skin like my old Fitbit did.",Aurora Smartwatch
"Screen cracked on day 4 from a drop of maybe two feet onto carpet. For something marketed as 'rugged' that's pretty disappointing. Cracked screen is now unusable, need a refund or replacement urgently.",Aurora Smartwatch
"Solid daily driver. Step tracking is accurate against my treadmill's counter, sleep tracking is hit or miss. Wish the app had a dark mode but not a dealbreaker.",Aurora Smartwatch
"Ordered a medium, received what feels like a small. Fabric quality is nice - soft, doesn't pill after washing - but the sizing chart is way off from actual measurements.",Meridian Hoodie
"Perfect weight for spring evenings. Color is true to the photos, stitching feels durable, and the hood actually stays up in wind unlike my old one.",Meridian Hoodie
"Zipper broke off completely after the third wear. Cheaply made compared to what I remember from this brand a few years ago. Want a refund, not a replacement of the same faulty design.",Meridian Hoodie
"Comfortable enough for lounging but I wouldn't call it outerwear - too thin for anything below 50F. Good for the price if you set expectations right.",Meridian Hoodie
"Smells strongly of chemicals right out of the bag, had to air it out on the balcony for two days before I could wear it near my face. Otherwise the fit is true to size and pockets are deep.",Meridian Hoodie
